"Date","Event","Type","Country ","Description"
"Jan-01","Sudan becomes independent","Independence","Sudan","On January 1, 1956, Sudan became the first sub-Saharan African country to gain full independence from British and Egyptian co-rule. The event marked the opening of Africa's great decolonization era."
"Jan-02","Birth of Haile Selassie I","Figure","Ethiopia","Ras Tafari Makonnen, later crowned Emperor Haile Selassie I, was born on July 23, 1892 — but January 2 marks his ceremonial birth celebration in the Ethiopian Orthodox calendar. He remains a global symbol of African sovereignty and Rastafari faith."
"Jan-03","Republic of Dahomey proclaimed","Independence","Benin","On January 3, 1966, a military coup ended civilian rule in Dahomey (now Benin), launching decades of political change. The country later renamed itself Benin in 1975 after the ancient kingdom."
"Jan-04","Albert Luthuli awarded Nobel Peace Prize ceremony","South Africa","Figure","Albert Luthuli, leader of the African National Congress, received his Nobel Peace Prize on December 10, 1961, but January 4 is commemorated in South Africa as his legacy day. He was the first African to receive the Nobel Peace Prize."
"Jan-05","Timkat  Ethiopian Epiphany begins","Festival","Ethiopia","Timkat, the Ethiopian Orthodox celebration of Epiphany, begins with colorful processions and symbolic baptisms reenacting Christ's baptism in the Jordan. It is a UNESCO-inscribed intangible cultural heritage."
"Jan-06","Khartoum founded","Heritage","Sudan","Khartoum was established as a military camp by Egyptian forces in 1821 and grew into the capital of Sudan at the confluence of the Blue and White Niles. Its name in Arabic means 'elephant trunk,' describing the peninsula's shape."
"Jan-07","Ganna  Ethiopian Christmas","Festival","Ethiopia/ Eritrea","On January 7, Ethiopian and Eritrean Christians celebrate Christmas (Ganna) with dawn liturgy, feasting, and traditional stick games. The date follows the Ethiopian Orthodox Tewahedo calendar, which differs from the Gregorian calendar."
"Jan-08","Battle of Isandlwana anniversary","Battle","South Africa","The Battle of Isandlwana, fought on January 22, 1879, is commemorated starting in early January each year with Zulu ceremonies. It was one of the most devastating British defeats during the Anglo-Zulu War."
"Jan-09","Signing of the Comprehensive Peace Agreement","Treaty","Sudan/ South Sudan","On January 9, 2005, Sudan's government and the SPLM signed the Comprehensive Peace Agreement in Nairobi, ending over two decades of civil war. The deal later led to the creation of South Sudan in 2011."
"Jan-10","Zanzibar Revolution anniversary","Revolution","Tanzania","On January 12, 1964, the Arab sultanate of Zanzibar was overthrown in a revolution by African nationalist forces, resulting in the death of thousands. The island later merged with Tanganyika to form Tanzania."
